Name,Age,GPA,Sports_Played,Credits_Completed,Major,Year
Joe Anderson,16,0.33,0,4,Marketing,Freshman
Sujay Brown,16,3.22,0,7,Culinary,Sophomore
Abby Taylor,16,2.54,1,55,Culinary,Senior
Sam Johnson,15,1.37,0,1,Construction,Junior
Alice Miller,17,2.24,2,12,Construction,Freshman
Emm Thomas,17,0.72,1,19,Early Childhood Education,Freshman
Abby Brown,15,3.11,2,18,Criminal Justice,Sophomore
Alice Williams,16,1.75,3,35,Early Childhood Education,Sophomore
Vihaan Hernandez,15,0.41,2,33,Business,Junior
Kelsey Jones,15,3.62,1,56,Construction,Freshman
Nate Taylor,17,2.17,1,5,Business,Senior
Josh Rodriguez,16,3.88,1,46,Culinary,Junior
Kelsey Martin,15,4.2,1,24,Computer Science,Senior
Azria Lopez,14,2.73,0,9,Criminal Justice,Senior
Dutch Williams,15,2.38,0,6,Early Childhood Education,Junior
Nate Martinez,15,3.13,2,55,Marketing,Freshman
Nate Miller,17,0.95,3,36,Bio Med,Freshman
Vihaan Wilson,19,1.68,2,60,Criminal Justice,Sophomore
Gavin Jones,18,0.76,1,36,Criminal Justice,Senior
Joe Johnson,18,3.92,0,29,Construction,Junior
Avery Davis,19,3.25,3,53,Early Childhood Education,Freshman
Azria Martinez,17,0.68,0,39,Early College,Junior
Kelsey Garcia,16,3.79,1,3,Business,Junior
Manny Johnson,16,1.38,3,53,Criminal Justice,Senior
Azria Jackson,14,4.25,2,26,Marketing,Sophomore
Kelsey Martinez,19,2.63,0,57,Criminal Justice,Junior
Dutch Lopez,19,1.59,1,25,Computer Science,Freshman
Nate Rodriguez,16,2.81,1,56,Bio Med,Senior
Dutch Rodriguez,16,0.34,0,39,Construction,Freshman
Manny Davis,19,2.49,3,24,Bio Med,Sophomore
Josh Anderson,19,1.85,3,23,Computer Science,Freshman
Kelsey Wilson,17,2.61,2,20,Bio Med,Freshman
Abby Williams,17,0.48,0,56,Engineering,Senior
Avery Moore,14,4.16,0,16,Culinary,Senior
Abby Smith,16,2.42,1,54,Early College,Senior
Alice Smith,15,2.73,1,15,Engineering,Junior
Sam Hernandez,16,1.32,1,55,Culinary,Junior
Nate Garcia,14,0.93,1,57,Criminal Justice,Sophomore
Alice Smith,17,1.12,3,29,Criminal Justice,Senior
Vihaan Smith,16,1.87,1,30,Criminal Justice,Junior
Gavin Gonzalez,15,0.94,3,33,Early College,Sophomore
Avery Thomas,17,3.44,0,26,Early Childhood Education,Senior
Joe Garcia,17,1.91,1,43,Business,Senior
Joe Garcia,19,0.48,2,43,Marketing,Sophomore
Gavin Davis,19,3.53,0,13,Computer Science,Junior
Azria Rodriguez,14,2.86,3,31,Bio Med,Freshman
Sujay Rodriguez,14,2.95,2,25,Construction,Freshman
Dutch Smith,19,4.08,2,20,Early College,Senior
Sam Moore,17,0.55,3,30,Construction,Junior
Sam Gonzalez,16,2.21,2,44,Early Childhood Education,Senior
Alice Jackson,18,1.42,3,4,Computer Science,Senior
Gavin Johnson,16,0.82,2,49,Culinary,Junior
Alice Lopez,15,4.38,1,37,Criminal Justice,Freshman
Azria Martinez,19,3.85,3,28,Early Childhood Education,Senior
Vihaan Miller,17,2.71,1,48,Early Childhood Education,Sophomore
Gavin Moore,18,1.05,2,32,Marketing,Junior
Nate Martin,16,1.29,1,28,Engineering,Sophomore
Abby Taylor,17,1.44,3,57,Construction,Senior
Cal Jones,16,3.39,2,5,Early Childhood Education,Junior
Dutch Taylor,16,2.51,1,48,Computer Science,Sophomore
Kelsey Anderson,16,1.93,2,58,Bio Med,Senior
Gavin Anderson,14,2.67,1,3,Early Childhood Education,Freshman
Sam Hernandez,15,2.6,3,12,Engineering,Junior
Emm Jones,17,2.7,2,48,Bio Med,Sophomore
Dutch Moore,15,0.57,3,13,Early Childhood Education,Junior
Avery Hernandez,14,3.68,0,21,Early Childhood Education,Junior
Alice Wilson,16,4.07,1,41,Construction,Freshman
Azria Garcia,15,4.18,0,59,Computer Science,Sophomore
Alice Johnson,18,3.28,0,48,Criminal Justice,Freshman
Avery Davis,15,1.61,1,35,Construction,Senior
